Time,Temperature (°C),Light (Lux),Humidity (%RH),Rec. Reset (100),During USB (2)
10/31/2016 11:43,22.937,0,0,0,1
10/31/2016 11:44,24.062,0,0,0,0
10/31/2016 11:44,24.312,0,0,0,0
10/31/2016 11:45,24.562,0,0,0,0
10/31/2016 11:45,24.625,0,0,0,0
10/31/2016 11:46,24.75,0,0,0,0
10/31/2016 11:46,24.75,0,0,0,0
10/31/2016 11:47,24.812,0,0,0,0
10/31/2016 11:47,24.75,0,0,0,0
10/31/2016 11:48,24.75,0,0,0,0
10/31/2016 11:48,24.687,0,0,0,0
10/31/2016 11:49,24.687,0,0,0,0
10/31/2016 11:49,24.625,0,0,0,0
10/31/2016 11:50,24.625,0,0,0,0
10/31/2016 11:50,24.562,0,0,0,0
10/31/2016 11:51,24.562,0,0,0,0
10/31/2016 11:51,24.562,0,0,0,0
10/31/2016 11:52,24.562,0,0,0,0
10/31/2016 11:52,24.5,0,0,0,0
10/31/2016 11:53,24.5,0,0,0,0
10/31/2016 11:53,24.5,0,0,0,0
10/31/2016 11:54,24.5,0,0,0,0
10/31/2016 11:54,24.5,0,0,0,0
10/31/2016 11:55,24.5,0,0,0,0
10/31/2016 11:55,24.5,0,0,0,0
10/31/2016 11:56,24.5,0,0,0,0
10/31/2016 11:56,24.5,0,0,0,0
10/31/2016 11:57,24.5,0,0,0,0
10/31/2016 11:57,24.562,0,0,0,0
10/31/2016 11:58,24.5,0,0,0,0
10/31/2016 11:58,24.562,0,0,0,0
10/31/2016 11:59,24.625,0,0,0,0
10/31/2016 11:59,24.625,0,0,0,0
10/31/2016 12:00,24.625,0,0,0,0
10/31/2016 12:00,24.625,0,0,0,0
10/31/2016 12:01,24.625,0,0,0,0
10/31/2016 12:01,24.687,0,0,0,0
10/31/2016 12:02,24.687,0,0,0,0
10/31/2016 12:02,24.687,0,0,0,0
10/31/2016 12:03,24.687,0,0,0,0
10/31/2016 12:03,24.687,0,0,0,0
10/31/2016 12:04,24.687,0,0,0,0
10/31/2016 12:04,24.625,0,0,0,0
10/31/2016 12:05,24.625,0,0,0,0
10/31/2016 12:05,24.562,0,0,0,0
10/31/2016 12:06,24.625,0,0,0,0
10/31/2016 12:06,24.687,0,0,0,0
10/31/2016 12:07,24.75,0,0,0,0
10/31/2016 12:07,24.75,0,0,0,0
10/31/2016 12:08,24.75,0,0,0,0
10/31/2016 12:08,24.812,0,0,0,0
10/31/2016 12:09,24.875,0,0,0,0
10/31/2016 12:09,24.937,0,0,0,0
10/31/2016 12:10,24.937,0,0,0,0
10/31/2016 12:10,24.937,0,0,0,0
10/31/2016 12:11,25,0,0,0,0
10/31/2016 12:11,25,0,0,0,0
10/31/2016 12:12,24.937,0,0,0,0
10/31/2016 12:12,25,0,0,0,0
10/31/2016 12:13,24.937,0,0,0,0
10/31/2016 12:13,24.937,0,0,0,0
10/31/2016 12:14,24.937,0,0,0,0
10/31/2016 12:14,24.937,0,0,0,0
10/31/2016 12:15,25,0,0,0,0
10/31/2016 12:15,25.062,0,0,0,0
10/31/2016 12:16,25.062,0,0,0,0
10/31/2016 12:16,25.125,0,0,0,0
10/31/2016 12:17,25.125,0,0,0,0
10/31/2016 12:17,25.062,0,0,0,0
10/31/2016 12:18,25.062,0,0,0,0
10/31/2016 12:18,25.125,0,0,0,0
10/31/2016 12:19,25.187,0,0,0,0
10/31/2016 12:19,25.187,0,0,0,0
10/31/2016 12:20,25.187,0,0,0,0
10/31/2016 12:20,25.125,0,0,0,0
10/31/2016 12:21,25.062,0,0,0,0
10/31/2016 12:21,25,0,0,0,0
10/31/2016 12:22,24.937,0,0,0,0
10/31/2016 12:22,24.875,0,0,0,0
10/31/2016 12:23,24.812,0,0,0,0
10/31/2016 12:23,24.812,0,0,0,0
10/31/2016 12:24,25,0,0,0,0
10/31/2016 12:24,25.062,0,0,0,0
10/31/2016 12:25,25.062,0,0,0,0
10/31/2016 12:25,25,0,0,0,0
10/31/2016 12:26,25,0,0,0,0
10/31/2016 12:26,24.937,0,0,0,0
10/31/2016 12:27,24.875,0,0,0,0
10/31/2016 12:27,24.812,0,0,0,0
10/31/2016 12:28,24.75,0,0,0,0
10/31/2016 12:28,24.687,0,0,0,0
10/31/2016 12:29,24.687,0,0,0,0
10/31/2016 12:29,24.625,0,0,0,0
10/31/2016 12:30,24.562,0,0,0,0
10/31/2016 12:30,24.5,0,0,0,0
10/31/2016 12:31,24.312,0,0,0,0
10/31/2016 12:31,24.125,0,0,0,0
10/31/2016 12:32,23.937,0,0,0,0
10/31/2016 12:32,23.687,0,0,0,0
10/31/2016 12:33,23.5,0,0,0,0
10/31/2016 12:33,23.25,0,0,0,0
10/31/2016 12:34,23,0,0,0,0
10/31/2016 12:34,22.812,0,0,0,0
10/31/2016 12:35,23,0,0,0,0
10/31/2016 12:35,23.375,0,0,0,0
10/31/2016 12:36,23.812,0,0,0,0
10/31/2016 12:36,24.375,0,0,0,0
10/31/2016 12:37,24.875,0,0,0,0
10/31/2016 12:37,25.312,0,0,0,0
10/31/2016 12:38,25.812,0,0,0,0
10/31/2016 12:38,26.187,0,0,0,0
10/31/2016 12:39,26.5,0,0,0,0
10/31/2016 12:39,26.812,0,0,0,0
10/31/2016 12:40,27.062,0,0,0,0
10/31/2016 12:40,27.437,0,0,0,0
10/31/2016 12:41,27.625,0,0,0,0
10/31/2016 12:41,27.937,0,0,0,0
10/31/2016 12:42,28.25,0,0,0,0
10/31/2016 12:42,28.562,0,0,0,0
10/31/2016 12:43,28.875,0,0,0,0
10/31/2016 12:43,29.187,0,0,0,0
10/31/2016 12:44,29.5,0,0,0,0
10/31/2016 12:44,29.812,0,0,0,0
10/31/2016 12:45,30.062,0,0,0,0
10/31/2016 12:45,30.187,0,0,0,0
10/31/2016 12:46,30.312,0,0,0,0
10/31/2016 12:46,30.437,0,0,0,0
10/31/2016 12:47,30.5,0,0,0,0
10/31/2016 12:47,30.5,0,0,0,0
10/31/2016 12:48,30.5,0,0,0,0
10/31/2016 12:48,30.375,0,0,0,0
10/31/2016 12:49,30.312,0,0,0,0
10/31/2016 12:49,30.375,0,0,0,0
10/31/2016 12:50,30.375,0,0,0,0
10/31/2016 12:50,30.25,0,0,0,0
10/31/2016 12:51,30,0,0,0,0
10/31/2016 12:51,29.687,0,0,0,0
10/31/2016 12:52,29.312,0,0,0,0
10/31/2016 12:52,28.937,0,0,0,0
10/31/2016 12:53,28.562,0,0,0,0
10/31/2016 12:53,28.125,0,0,0,0
10/31/2016 12:54,27.687,0,0,0,0
10/31/2016 12:54,27.25,0,0,0,0
10/31/2016 12:55,26.812,0,0,0,0
10/31/2016 12:55,26.437,0,0,0,0
10/31/2016 12:56,26,0,0,0,0
10/31/2016 12:56,25.625,0,0,0,0
10/31/2016 12:57,25.25,0,0,0,0
10/31/2016 12:57,24.937,0,0,0,0
10/31/2016 12:58,24.562,0,0,0,0
10/31/2016 12:58,24.25,0,0,0,0
10/31/2016 12:59,24,0,0,0,0
10/31/2016 12:59,23.687,0,0,0,0
10/31/2016 13:00,23.437,0,0,0,0
10/31/2016 13:00,23.187,0,0,0,0
10/31/2016 13:01,22.937,0,0,0,0
10/31/2016 13:01,22.687,0,0,0,0
10/31/2016 13:02,22.5,0,0,0,0
10/31/2016 13:02,22.312,0,0,0,0
10/31/2016 13:03,22.125,0,0,0,0
10/31/2016 13:03,21.937,0,0,0,0
10/31/2016 13:04,21.75,0,0,0,0
10/31/2016 13:04,21.562,0,0,0,0
10/31/2016 13:05,21.437,0,0,0,0
10/31/2016 13:05,21.25,0,0,0,0
10/31/2016 13:06,21.125,0,0,0,0
10/31/2016 13:06,21,0,0,0,0
10/31/2016 13:07,20.875,0,0,0,0
10/31/2016 13:07,20.75,0,0,0,0
10/31/2016 13:08,20.625,0,0,0,0
10/31/2016 13:08,20.5,0,0,0,0
10/31/2016 13:09,20.375,0,0,0,0
10/31/2016 13:09,20.25,0,0,0,0
10/31/2016 13:10,20.187,0,0,0,0
10/31/2016 13:10,20.062,0,0,0,0
10/31/2016 13:11,20,0,0,0,0
10/31/2016 13:11,19.937,0,0,0,0
10/31/2016 13:12,19.812,0,0,0,0
10/31/2016 13:12,19.75,0,0,0,0
10/31/2016 13:13,19.687,0,0,0,0
10/31/2016 13:13,19.625,0,0,0,0
10/31/2016 13:14,19.5,0,0,0,0
10/31/2016 13:14,19.437,0,0,0,0
10/31/2016 13:15,19.375,0,0,0,0
10/31/2016 13:15,19.312,0,0,0,0
10/31/2016 13:16,19.25,0,0,0,0
10/31/2016 13:16,19.187,0,0,0,0
10/31/2016 13:17,19.125,0,0,0,0
10/31/2016 13:17,19.125,0,0,0,0
10/31/2016 13:18,19.062,0,0,0,0
10/31/2016 13:18,19,0,0,0,0
10/31/2016 13:19,19,0,0,0,0
10/31/2016 13:19,18.937,0,0,0,0
10/31/2016 13:20,18.875,0,0,0,0
10/31/2016 13:20,18.875,0,0,0,0
10/31/2016 13:21,18.812,0,0,0,0
10/31/2016 13:21,18.75,0,0,0,0
10/31/2016 13:22,18.75,0,0,0,0
10/31/2016 13:22,18.687,0,0,0,0
10/31/2016 13:23,18.687,0,0,0,0
10/31/2016 13:23,18.625,0,0,0,0
10/31/2016 13:24,18.625,0,0,0,0
10/31/2016 13:24,18.562,0,0,0,0
10/31/2016 13:25,18.562,0,0,0,0
10/31/2016 13:25,18.5,0,0,0,0
10/31/2016 13:26,18.5,0,0,0,0
10/31/2016 13:26,18.437,0,0,0,0
10/31/2016 13:27,18.437,0,0,0,0
10/31/2016 13:27,18.437,0,0,0,0
10/31/2016 13:28,18.375,0,0,0,0
10/31/2016 13:28,18.375,0,0,0,0
10/31/2016 13:29,18.312,0,0,0,0
10/31/2016 13:29,18.312,0,0,0,0
10/31/2016 13:30,18.312,0,0,0,0
10/31/2016 13:30,18.312,0,0,0,0
10/31/2016 13:31,18.25,0,0,0,0
10/31/2016 13:31,18.25,0,0,0,0
10/31/2016 13:32,18.25,0,0,0,0
10/31/2016 13:32,18.25,0,0,0,0
10/31/2016 13:33,18.187,0,0,0,0
10/31/2016 13:33,18.187,0,0,0,0
10/31/2016 13:34,18.187,0,0,0,0
10/31/2016 13:34,18.187,0,0,0,0
10/31/2016 13:35,18.125,0,0,0,0
10/31/2016 13:35,18.125,0,0,0,0
10/31/2016 13:36,18.125,0,0,0,0
10/31/2016 13:36,18.125,0,0,0,0
10/31/2016 13:37,18.125,0,0,0,0
10/31/2016 13:37,18.062,0,0,0,0
10/31/2016 13:38,18.062,0,0,0,0
10/31/2016 13:38,18.062,0,0,0,0
10/31/2016 13:39,18.062,0,0,0,0
10/31/2016 13:39,18.062,0,0,0,0
10/31/2016 13:40,18.062,0,0,0,0
10/31/2016 13:40,18,0,0,0,0
