Time,Temperature,Light (Lux),Humidity (%RH),During USB (16)
8/9/2016 17:23,13.62914458,0,0,0
8/9/2016 17:24,13.81120887,0,0,0
8/9/2016 17:25,13.65536919,0,0,0
8/9/2016 17:26,13.42056218,0,0,0
8/9/2016 17:27,13.15868772,0,0,0
8/9/2016 17:28,12.89550372,0,0,0
8/9/2016 17:29,12.68398664,0,0,0
8/9/2016 17:30,12.49839626,0,0,0
8/9/2016 17:31,12.36504353,0,0,0
8/9/2016 17:32,12.5515527,0,0,0
8/9/2016 17:33,12.94824719,0,0,0
8/9/2016 17:34,12.97480954,0,0,0
8/9/2016 17:35,12.8164986,0,0,0
8/9/2016 17:36,12.57789741,0,0,0
8/9/2016 17:37,12.31168724,0,0,0
8/9/2016 17:38,12.07107684,0,0,0
8/9/2016 17:39,11.82882994,0,0,0
8/9/2016 17:40,11.61264651,0,0,0
8/9/2016 17:41,11.39545217,0,0,0
8/9/2016 17:42,11.23187558,0,0,0
8/9/2016 17:43,11.06770122,0,0,0
8/9/2016 17:44,10.93064299,0,0,0
8/9/2016 17:45,10.79271238,0,0,0
8/9/2016 17:46,10.65478246,0,0,0
8/9/2016 17:47,10.5439389,0,0,0
8/9/2016 17:48,10.46039239,0,0,0
8/9/2016 17:49,10.37712445,0,0,0
8/9/2016 17:50,10.2932425,0,0,0
8/9/2016 17:51,10.20963686,0,0,0
8/9/2016 17:52,10.15365522,0,0,0
8/9/2016 17:53,10.06931313,0,0,0
8/9/2016 17:54,10.01313679,0,0,0
8/9/2016 17:55,9.95688155,0,0,0
8/9/2016 17:56,9.928949471,0,0,0
8/9/2016 17:57,9.872574938,0,0,0
8/9/2016 17:58,9.844131672,0,0,0
8/9/2016 17:59,9.787635664,0,0,0
8/9/2016 18:00,9.759583397,0,0,0
8/9/2016 18:01,9.731058011,0,0,0
8/9/2016 18:02,9.702964985,0,0,0
8/9/2016 18:03,9.674398,0,0,0
8/9/2016 18:04,9.646263856,0,0,0
8/9/2016 18:05,9.617654907,0,0,0
